cep,logradouro,complemento,bairro,localidade,uf,ibge,gia,ddd,siafi
06764-480,Avenida César Simões,,Jardim Henriqueta,Taboão da Serra,SP,3552809,6750,11,7157
04139-000,Rua Pageú,,Vila Mariana,São Paulo,SP,3550308,1004,11,7107
